Number,Gender,Title,First Name,Initial,Last Name,Address 1,Address 2,City,PROV,Postal Code,Email Address,Telephone Number,DOB,SIN,Expiry, Balance 
202434,female,Ms.,Jacqueline,E,Foshee,2761 Albert Street,,Stratford,ON,N5A 3K5,jacquelineefoshee@gmail.com,519-275-2108,8/13/1986,513404376,23-Apr,"$467,220 "
202436,male,Mr.,Jonathan,T,Miller,657 Roger Street,,Qualicum Beach,BC,V9K 1L6,jonathantmiller@gmail.com,250-333-0044,3/10/1995,739062230,27-Aug,"$154,440 "
202438,male,Mr.,Juan,A,Cannon,1822 Essendene Avenue,,Abbotsford,BC,V2S 2H7,juanacannon@hotmail.com,604-768-8681,12/28/1976,739207157,23-Jan,"$204,720 "
202440,female,Ms.,Darlene,R,Mosley,521 Barrydowne Road,,Sudbury,ON,P3E 5K3,darlenermosley@outlook.com,705-662-4312,10/29/1987,513892430,27-Jun,"$608,625 "
202444,female,Mrs.,Jill,T,Moreno,609 Hamilton Street,,Eastend,SK,S4P 3Y2,jilltmoreno@gmail.com,306-295-9694,5/31/1995,657977005,25-Jan,"$212,880 "
202449,male,Mr.,Jeremy,M,Contreras,807 Montreal Road,,Ottawa,ON,K1L 6C7,jeremymcontreras@gmail.com,613-951-1868,5/24/1940,515326999,26-Jul,"$5,703 "
202452,female,Ms.,Patricia,R,McGinnis,888 Davis Drive,,Orillia,ON,L3V 1T4,patriciarmcginnis@icloud.com,705-323-6542,2/12/1981,516457330,26-Nov,"$172,250 "
202455,male,Mr.,Willie,D,Nieves,4904 Carling Avenue,,Ottawa,ON,K1Z 7B5,williednieves@nexicom.net,613-792-0541,2/24/1951,517088589,25-Dec,"$188,400 "
202457,male,Mr.,Thomas,D,Jacobson,2492 Hastings Street,,Vancouver,BC,V6C 1B4,thomasdjacobson@shaw.ca,778-883-1888,5/21/1944,739861953,26-Mar,"$4,109 "
202462,male,Mr.,Franklin,T,Thomas,1573 St Jean Baptiste St,,Lac Drolet,QC,G0Y 1C0,franklintthomas@gmail.com,819-549-9503,9/30/1997,241323369,25-Mar,"$241,080 "
202464,female,Ms.,Ellen,T,Gonzales,1047 49th Avenue,,Fort Smith,NT,X0E 0P0,ellentgonzales@gmail.com,867-872-5421,12/8/1941,658036835,23-Jul,"$19,450 "
202470,male,Mr.,Wade,L,Jeffers,776 Ross Street,,Renfrew,ON,K7V 1T5,wadeljeffers@outlook.com,613-433-2481,9/17/1986,517231635,24-Sep,"$154,440 "
202475,female,Mrs.,Angela,W,Griffin,2350 Heritage Drive,,Calgary,AB,T2V 2W2,angelawgriffin@gmail.com,403-990-5091,5/21/1971,658265715,26-Apr,"$204,720 "
202480,male,Mr.,Wayne,G,Underwood,1028 MacLaren Street,,Ottawa,ON,K1P 5M7,waynegunderwood@live.ca,613-788-1897,8/9/1968,517433454,27-May,"$241,080 "
202484,male,Mr.,Melvin,N,Martin,3386 Bayfield St,,Midland,ON,L4S 1V5,melvinnmartin@protonmail.com,705-526-6305,5/2/1998,517621991,27-Sep,"$711,000 "
202487,male,Mr.,Daniel,P,Hawkins,2903 Wascana Parkway,Unit 202,Regina,SK,S4S 2R3,danielphawkins@gmail.com,306-347-4062,9/6/1992,658407762,26-Jun,"$5,748 "
202491,male,Dr.,Stanley,F,Clay,2684 Sherbrooke Ouest,,Montreal,QC,H4A 1H3,stanleyfclay@gmail.com,514-928-2300,6/6/1970,241394139,25-Sep,"$188,400 "
202496,female,Mrs.,Luanne,S,Peck,3863 Wascana Parkway,,Regina,SK,S4S 2R3,luannespeck@outlook.com,306-721-2934,7/11/1986,658421466,23-Jun,"$468,500 "
202501,female,Mrs.,Valerie,J,Dixon,2971 MacLaren Street,,Ottawa,ON,K1P 5M7,valeriejdixon@hotmail.com,613-660-9876,11/17/1967,517708244,24-Dec,"$426,920 "
202503,female,Mrs.,Helena,S,Bell,1634 Merton Street,,Toronto,ON,M1L 3K7,helenasbell@hotmail.com,416-988-2247,8/7/1977,518767892,24-May,"$19,450 "
202519,male,Mr.,Jesse,L,Green,3573 Ross Street,,Perth,ON,K7H 2S6,jesselgreen@gmail.com,613-326-4997,11/17/1966,519733505,27-Jun,"$8,310 "
202524,male,Mr.,Monty,A,Jarvis,3276 Heritage Drive,,Calgary,AB,T2V 2W2,montyajarvis@gmail.com,403-258-4067,5/29/1946,659019756,26-Mar,"$8,800 "
202527,male,Mr.,Dwight,F,Ramirez,3748 Montreal Road,,Ottawa,ON,K1L 6C7,dwightframirez@gmail.com,613-945-4690,9/17/1951,520060161,24-Jul,"$38,505 "
202530,male,Mr.,Lamont,C,McCray,1117 47th Avenue,,Bon Accord,AB,T0A 0K0,lamontcmccray@live.ca,780-921-4121,12/20/1988,659061048,25-Oct,"$7,437 "
202532,female,Mrs.,Mary,R,Jackson,2612 Robson St,,Vancouver,BC,V6B 3K9,maryrjackson@hotmail.com,604-844-8198,5/15/1954,740276241,25-May,"$20,310 "
202533,female,Ms.,Rachel,J,Eakes,1227 Derry Rd,,Malton,ON,L4T 1A8,racheljeakes@gmail.com,416-771-5658,1/29/1995,520070731,27-Jan,"$20,310 "
202535,male,Mr.,Robert,T,Walker,1485 Manitoba Street,,Bracebridge,ON,P1L 2B7,roberttwalker@medportal.ca,705-646-2712,4/11/1982,520583725,24-Jan,"$22,610 "
202537,male,Mr.,Julius,S,Lopez,100 40th Street,,Calgary,AB,T2C 2P3,juliusslopez@gmail.com,403-720-7721,4/18/1993,659068498,26-Jul,"$7,360 "
202538,male,Mr.,Richard,M,Damron,325 Dry Pine Bay Rd,,Alban,ON,P0M 1A0,richardmdamron@yahoo.ca,705-857-4707,6/4/1991,520686841,23-Nov,"$14,255 "
202540,female,Ms.,Frances,M,Stephenson,1174 Paris St,,Sudbury,ON,P3E 4K2,francesmstephenson@hotmail.com,705-698-6028,1/2/1995,520725847,27-Dec,"$505,250 "
202541,male,Mr.,Dennis,C,Jones,71 rue Ellice,,Joliette,QC,J6E 3E8,denniscjones@gmail.com,450-803-5476,2/14/1969,241716711,23-Apr,"$71,240 "
202546,male,Mr.,David,D,Dickerson,4879 Tchesinkut Lake Rd,,Hansard,BC,V0J 2Z0,davidddickerson@yahoo.com,250-966-0227,7/29/1939,740344114,27-Apr,"$19,670 "
202547,female,Ms.,Maria,G,Kotter,4918 Munsee Street,,Fisherville,ON,N0A 1G0,mariagkotter@rogers.com,905-779-1390,11/24/1995,520829185,25-Nov,"$464,750 "
202549,male,Mr.,Neal,K,Sanchez,2441 rue Saint-Antoine,,Granby,QC,J2G 9J6,nealksanchez@gmail.com,450-330-2582,2/2/1947,241719988,24-May,"$14,255 "
202551,female,Ms.,Patricia,W,Garcia,1655 Halsey Avenue,,Toronto,ON,M3B 2W6,patriciawgarcia@lakeheadu.ca,416-385-7382,8/29/1993,521260356,27-Aug,"$505,250 "
202552,male,Mr.,Bobby,I,Sung,31 Heritage Drive,,Calgary,AB,T2V 2W2,bobbyisung@gmail.com,403-860-2776,3/20/1974,659727507,25-Nov,"$136,560 "
202554,female,Mrs.,Jodi,D,Bergin,794 Front Street,,Toronto,ON,M5J 2N1,jodidbergin@hotmail.com,416-918-0799,12/3/1986,521923623,26-Feb,"$21,255 "
202555,female,Ms.,Lorna,T,Wright,2087 Robson St,,Vancouver,BC,V6B 3K9,lornatwright@sasktel.net,604-713-6049,10/23/1968,740372347,23-Jan,"$95,400 "
202557,male,Mr.,Larry,M,Yun,3113 chemin Hudson,Box 829,Montreal,QC,H4J 1M9,larrymyun@telus.net,514-293-4359,3/10/1945,241747286,23-Oct,"$353,625 "
202559,female,Mrs.,Shari,J,Wise,3206 Islington Ave,,Toronto,ON,M8V 3B6,sharijwise@hotmail.com,416-859-6109,2/16/1981,522019934,25-Apr,"$729,500 "
202560,female,Mrs.,Amy,T,Munoz,1419 Fallon Drive,,Bothwell,ON,N0P 1C0,amytmunoz@hotmail.com,519-695-4612,7/10/1989,522293505,27-May,"$897,000 "
202562,male,Mr.,Matt,A,Farwell,1467 Nelson Street,,Manitouwadge,ON,P0T 2C0,mattafarwell@gmail.com,807-872-4519,1/9/1962,522345990,25-Aug,"$358,560 "
202564,male,Mr.,Christopher,L,Carpenter,1676 Benton Street,,Kitchener,ON,N2G 4L9,christopherlcarpenter@gmail.com,519-404-9624,12/27/1943,523014801,27-Sep,"$2,180 "
202566,female,Mrs.,Judith,W,Abramson,775 Merton Street,,Toronto,ON,M1L 3K7,judithwabramson@hotmail.com,416-428-7073,11/26/1947,523475358,26-May,"$20,740 "
202568,male,Mr.,Christopher,F,Sampson,1796 Glover Road,Suite 611,Langley,BC,V3A 1Z3,christopherfsampson@telus.net,604-533-2387,7/6/1969,740450291,24-Nov,"$10,560 "
202569,male,Mr.,David,H,Severson,3007 Kennedy Rd,,Lindsay,ON,K9V 4A4,davidhseverson@gmail.coms,705-344-2112,8/29/1967,523550218,23-Apr,"$6,710 "
202571,female,Ms.,Marla,S,Corby,628 Bay Street,,Toronto,ON,M5J 2R8,marlascorby@gmail.com,416-838-7986,2/14/1984,523700318,24-Mar,"$15,140 "
202572,female,Ms.,Alison,C,Moeller,3702 Princess St,,Kingston,ON,K7L 1C2,alisoncmoeller@gmail.com,613-541-0513,5/10/1996,524373164,24-Jun,"$71,240 "
202574,female,Mrs.,Katherine,J,Holmes,999 Tolmie St,,Vancouver,BC,V6M 1Y8,katherinejholmes@gmail.com,604-263-2060,9/3/1936,740636311,26-Nov,"$136,560 "
202575,male,Mr.,Louis,J,Huskins,1985 Maynard Rd,,Calgary,AB,T2E 6J8,louisjhuskins@shaw.ca,403-922-4690,3/19/1990,659730758,26-Jul,"$4,395 "
202583,male,Mr.,Marion,K,Royal,4134 McGill Road,,Kamloops,BC,V2C 5R8,marionkroyal@gmail.com,250-372-2710,7/10/1951,741606388,24-Jul,"$26,460 "
202586,female,Ms.,Jennette,D,Hubbard,2237 Ganges Road,,Ganges,BC,V0S 1E0,jennettedhubbard@v-mail.ca,250-537-3463,9/22/1981,742560667,24-Nov,"$566,020 "
202589,male,Mr.,Aaron,D,Citizen,2583 Main St,,Glen Ewen,SK,S0C 1C0,aarondcitizen@gmail.com,306-925-9832,10/6/1990,659972160,25-Feb,"$2,598 "
202592,male,Mr.,Lester,A,Lucero,1393 Ste. Catherine Ouest,,Montreal,QC,H3B 2M1,lesteralucero@yahoo.com,514-906-0462,8/14/1966,242244416,27-Mar,"$90,740 "
202594,female,Ms.,Leatrice,J,Ross,4824 Silver Springs Blvd,,Calgary,AB,T3E 0K6,leatricejross@gmail.com,403-242-7422,7/10/1937,660403353,26-Nov,"$566,020 "
202596,male,Mr.,Allen,N,Roberts,2750 Wyecroft Road,,King City,ON,L7B 1G4,allennroberts@gmail.com,905-833-6509,2/2/1952,524697562,23-Apr,"$15,140 "
202598,female,Mrs.,Susan,R,Haubert,701 Brew Creek Rd,,Gibsons,BC,V0N 1V0,susanrhaubert@gmail.com,604-840-2120,6/6/1961,742704778,25-Jul,"$484,900 "
202600,male,Mr.,Robert,A,Aranda,1618 Bridgeport Rd,,Collingwood,ON,L9Y 1X1,robertaaranda@gmail.com,705-443-9398,6/8/1937,524776952,26-Jul,"$128,880 "
202602,male,Mr.,Gregory,M,Zarate,4397 Derry Rd,Apt 127,Malton,ON,L4T 1A8,gregorymzarate@gmail.com,905-612-4825,7/25/1943,524823994,26-Nov,"$495,820 "
202604,male,Mr.,Tyler,S,Johnson,2184 James Street,,St Catharines,ON,L2R 3H6,tylersjohnson@hotmail.com,905-322-1094,8/16/1941,525662193,23-Jan,"$6,710 "
202606,female,Mrs.,Mary,P,Zaragoza,115 rue Levy,,Montreal,QC,H3C 5K4,marypzaragoza@gmail.com,514-378-1842,1/27/1952,242250397,24-May,"$462,280 "
202608,male,Mr.,Grant,L,Walters,4064 Lynden Road,Suite 3106,Victoria,ON,L0H 1E0,grantlwalters@gmail.com,905-838-5081,9/10/1999,526178884,26-Apr,"$5,795 "
202609,male,Mr.,Timothy,B,Rogers,2278 Davis Drive,,Port Colborne,ON,L3K 3M2,timothybrogers@rogers.com,905-834-8956,4/7/1978,526972971,24-Mar,"$6,860 "
202611,female,Mrs.,Edith,D,Slater,863 St. John Street,,Borden,SK,S4P 3Y2,edithdslater@gmail.com,306-997-3938,1/31/1941,661143784,23-Feb,"$11,745 "
202613,male,Mr.,John,J,Briggs,1201 St. John Street,,Denzil,SK,S4P 3Y2,johnjbriggs@gmail.com,306-358-1269,6/18/1996,661335653,23-Feb,"$13,445 "
202615,male,Mr.,Thomas,C,Phillips,3367 rue des Églises Est,,Notre Dame De La Salette,QC,J0X 2L0,thomascphillips@gmail.com,819-766-8696,10/20/1963,242497477,26-Jun,"$7,293 "
202617,male,Mr.,James,D,Le,3212 Roger Street,,Comox,BC,V9N 6A1,jamesdle@gmail.com,250-702-7326,8/29/1945,743291965,26-Apr,"$7,293 "
202619,female,Mrs.,Taryn,M,Mills,4395 90th Avenue,,Drumheller,AB,T0J 0Y0,tarynmmills@gmail.com,403-823-8287,8/24/1971,661629154,27-Mar,"$13,445 "
202621,female,Ms.,Angela,C,Brown,2313 Boulevard Ste-Geneviève,,La Baie,QC,G7B 1P3,angelacbrown@gmail.com,418-544-7271,3/30/1959,242541944,24-Sep,"$8,415 "
202623,male,Mr.,John,E,Wright,3753 Brand Road,,Kindersley,SK,S7K 1W8,johnewright@gmail.com,306-460-8606,5/22/1979,662056597,27-Sep,"$3,369 "
202625,female,Ms.,Dolores,J,Smith,3818 Tolmie St,,Vancouver,BC,V6R 4C5,doloresjsmith@gmail.com,604-228-6851,2/21/1952,743333130,25-Jul,"$5,795 "
202627,male,Mr.,Robert,D,Hernandez,1366 St George Street,,Vancouver,BC,V5T 1Z7,robertdhernandez@gmail.com,604-876-5310,3/9/1964,743758708,27-Jul,"$5,595 "
202629,female,Ms.,Ernestina,J,Tanguay,1440 Richmond Street,,Oshawa,ON,S4P 3Y2,ernestinajtanguay@gmail.com,905-404-3768,11/14/2000,527330484,23-Oct,"$3,348 "
202631,female,Mrs.,Lillie,J,Chalmers,4930 Yonge Street,,Toronto,ON,M4W 1J7,lilliejchalmers@gmail.com,416-961-2693,5/23/1943,527512727,25-Dec,"$15,630 "
202633,male,Mr.,Phillip,D,McCarthy,2161 Stoney Creek,,Gainsborough,SK,S4P 3Y2,phillipdmccarthy@gmail.com,306-685-9635,8/16/1958,662154855,27-Dec,"$247,750 "
202635,female,Ms.,Linda,H,Gillette,4371 Danforth Avenue,,Toronto,ON,M4K 1A6,lindahgillette@gmail.com,416-328-6602,11/26/1977,528215734,27-Jun,"$5,080 "
202637,female,Mrs.,Theresa,R,Elliott,2623 Charing Cross Rd,#712,Chatham,ON,N7M 2G9,theresarelliott@gmail.com,519-365-2029,4/1/1978,528980535,24-Oct,"$27,910 "
202639,female,Ms.,Ruth,R,Poindexter,4826 St. John Street,,Choiceland,SK,S4P 3Y2,ruthrpoindexter@gmail.com,306-428-2419,8/6/1942,662371780,24-Jul,"$2,850 "
202641,male,Mr.,Larry,D,Kimble,2603 Brew Creek Rd,,Whistler,BC,V0N 1B0,larrydkimble@gmail.com,604-938-9560,7/28/1970,743884637,23-Jun,"$12,435 "
202643,male,Mr.,Kevin,J,Holland,3765 Main St,,Porcupine Plain,SK,S0E 1H0,kevinjholland@live.com,306-278-7534,2/21/1948,662531532,24-Aug,"$359,970 "
202645,male,Mr.,Curtis,C,Novoa,4128 René-Lévesque Blvd,Suite 421,Montreal,QC,H3B 4W8,curtiscnovoa@pm.me,514-999-5095,3/12/1990,242794634,27-Jul,"$435,240 "
202648,female,Ms.,Sylvia,M,Stevens,2806 Glover Road,Apt 21,Fort Langley,BC,V3A 6X5,sylviamstevens@gmail.com,604-882-3905,3/31/1967,744204660,27-Jul,"$187,200 "
202651,male,Mr.,Steven,C,Hamilton,1101 Victoria Park Ave,,Toronto,ON,M4A 2M5,stevenchamilton@gmail.com,416-751-6263,7/13/1964,528988835,23-Apr,"$7,026 "
202653,female,Mrs.,Betty,D,Lawrence,3546 Heritage Drive,,Calgary,AB,T2V 2W2,bettydlawrence@gmail.com,403-875-5986,10/30/1987,662955871,27-Dec,"$275,000 "
202655,male,Mr.,Brett,M,Briggs,1918 Wascana Parkway,,Regina,SK,S4S 2R3,brettmbriggs@gmail.com,306-779-8660,2/21/1976,663112852,25-Nov,"$13,030 "
202657,male,Mr.,Jerome,D,Tsai,2252 Fourth Avenue,,Calgary,AB,T2P 0H3,jeromedtsai@gmail.com,403-630-3489,6/15/1936,663506756,23-May,"$359,040 "
202659,male,Mr.,James,M,Hudson,4018 rue des Églises Est,,Val Des Bois,QC,J0X 3C0,jamesmhudson@gmail.com,819-454-2113,11/19/1982,242801389,26-Oct,"$286,200 "
202662,male,Mr.,Richard,D,Danos,352 Brew Creek Rd,,Pemberton,BC,V0N 2L0,richardddanos@gmail.com,604-894-9221,11/29/1974,744289976,24-Sep,"$401,750 "
202665,female,Mrs.,Angela,A,Toney,3298 Pine Street,,Warburg,AB,T0C 2T0,angelaatoney@gmail.com,780-848-2562,11/4/1981,663589406,26-Feb,"$11,635 "
202668,female,Mrs.,Kimberly,J,Hughes,1794 Eglinton Avenue,,Toronto,ON,M4P 1A6,kimberlyjhughes@gmail.com,416-419-5221,3/14/1943,529108748,27-Jun,"$247,750 "
202670,male,Mr.,Howard,N,Striegel,4996 47th Avenue,,Tagish,YT,Y0B 1T0,howardnstriegel@gmail.com,867-660-0556,1/31/1990,744887464,23-Jan,"$156,520 "
202673,male,Mr.,John,C,Schmaltz,3392 Nelson Street,,Devlin,ON,P0W 1C0,johncschmaltz@hotmail.com,807-486-0502,7/6/1980,529123028,25-Sep,"$26,200 "
202674,female,Ms.,Minnie,T,Foley,3796 René-Lévesque Blvd,,Montreal,QC,H3B 4W8,minnietfoley@yahoo.com,514-574-2616,9/24/1938,242869212,27-Apr,"$319,280 "
202677,male,Mr.,Don,M,Nevarez,1323 Weir Crescent,,Toronto,ON,M1E 3T8,donmnevarez@live.ca,416-660-9245,10/28/1992,529171787,23-Aug,"$13,890 "
202679,female,Mrs.,Norma,R,Barnes,4295 Kinchant St,,Prince George,BC,V2N 2S6,normarbarnes@gmail.com,250-962-4899,10/16/1981,745017905,26-Jul,"$103,320 "
202681,female,Mrs.,Angela,H,Lamkin,2388 Wellington Street,,Toronto,ON,M9C 3J5,angelahlamkin@gmail.com,416-622-6256,1/5/1947,529638033,25-Oct,"$84,480 "
202683,male,Dr.,Clarence,L,Green,2115 Algoma St,,Thunder Bay,ON,P7A 4T3,clarencelgreen@rogers.com,807-939-1059,1/18/1946,663872273,25-Jul,"$18,020 "
202685,male,Mr.,Glenn,D,Miller,4005 Sixth Street,,New Westminster,BC,V3L 3C1,glenndmiller@gmail.com,604-524-2381,5/25/1959,745694307,26-Sep,"$26,630 "
202688,male,Mr.,Earl,J,Holcomb,2322 Lillooet Street,,Prince Albert,SK,S6V 1B3,earljholcomb@outlook.com,306-764-9627,3/29/1953,664558251,24-Sep,"$10,680 "
202691,female,Ms.,Lena,A,Beck,4353 Playfair Avenue,Unit 156,Toronto,ON,M4J 3S3,lenaabeck@protonmail.ch,416-696-8842,3/14/1938,529698904,26-Mar,"$21,160 "
202694,male,Mr.,Bennett,H,Smith,25 Lauzon Parkway,,Windsor,ON,N8Y 4V1,bennetthsmith@live.ca,519-982-0377,7/17/1962,529854127,26-Jan,"$5,550 "
202696,female,Ms.,Stephanie,E,Hood,2673 Kinchant St,Suite 3206,Mission,BC,V2V 1J7,stephanieehood@gmail.com,604-820-4044,1/1/1950,746369628,24-Jan,"$28,610 "
202698,female,Ms.,Loretta,M,Stubbs,4869 Reserve St,,Mcdonalds Corners,ON,K0G 1M0,lorettamstubbs@gmail.com,613-278-5193,4/25/1999,530049493,26-Sep,"$96,840 "
202701,male,Mr.,Larry,A,Hunt,3934 Brand Road,,Rosetown,SK,S7K 1W8,larryahunt@yahoo.ca,306-831-7004,3/18/1980,665114476,26-Oct,"$156,520 "
202702,female,Mrs.,Jessica,D,Raab,1892 Dry Pine Bay Rd,,Blezard Valley,ON,P0M 1E0,jessicadraab@gmail.com,705-897-8352,8/25/1985,530076611,23-Jul,"$28,320 "
202705,female,Dr.,Jessie,R,Williams,1912 Pitfield Blvd,,St Laurent,QC,H4S 1H3,jessierwilliams@gmail.com,514-817-9042,12/3/1950,243410289,25-Mar,"$15,790 "
202707,female,Ms.,Christie,P,Flores,4344 184th Street,,Edmonton,AB,T5J 2R4,christiepflores@gmail.com,780-465-7893,11/21/2002,665764080,25-Feb,"$103,320 "
202709,female,Ms.,Rita,W,Miller,2542 Barrydowne Road,,Sudbury,ON,P3E 5K3,ritawmiller@gmail.com,705-665-3458,5/30/1977,530186329,27-Sep,"$84,480 "
202711,male,Mr.,Charles,H,Crowell,4102 Coldstream Avenue,,Vernon,BC,V1T 6N1,charleshcrowell@hotmail.com,250-545-3958,7/20/1970,746966126,27-Feb,"$10,330 "
202713,female,Mrs.,Gaye,R,Edwards,3520 Cornwall Street,,Estevan,SK,S4A 0W6,gayeredwards@gmail.com,306-421-2266,1/2/1990,666095963,25-Aug,"$312,500 "
202716,male,Mr.,Freeman,S,Wachtel,2296 Stoney Creek,,Govan,SK,S4P 3Y2,freemanswachtel@outlook.com,306-484-2710,8/18/1949,666148804,27-Apr,"$13,890 "
202719,male,Mr.,Thomas,C,Bradshaw,1149 Port Washington Road,,Fort Macleod,AB,T0L 0Z0,thomascbradshaw@hotmail.com,403-553-2114,10/3/1939,666418314,27-Feb,"$12,650 "
202722,female,Ms.,Lori,E,Spivey,2807 Port Washington Road,,Banff,AB,T0L 0C0,loriespivey@gmail.com,403-431-8913,5/20/1978,666613567,27-Jan,"$22,970 "
202725,female,Mrs.,Sandra,L,Peters,864 40th Street,,Calgary,AB,T2P 4L4,sandralpeters@gmail.com,403-399-3175,2/19/1946,666655824,26-Dec,"$26,630 "
